TABELA D_Internamento_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,NORDEM,D010001,D010002,D010003,D010004,D010005,D010006,D010007,D010008,D020001,D020002,D020003,D020004,D020005,D020006,D020007,D020008,D021001,D021002,D021003,D021004,D021005,D021006,D021007,D021008,D021011,D021012,D021013,D021014,D021015,D021016,D021017,D021018,D021021,D021022,D021023,D021024,D021025,D021026,D021027,D021028,D021031,D021032,D021033,D021034,D021035,D021036,D021037,D021038,D021041,D021042,D021043,D021044,D021045,D021046,D021047,D021048,D021051,D021052,D021053,D021054,D021055,D021056,D021057,D021058,D021061,D021062,D021063,D021064,D021065,D021066,D021067,D021068,D021071,D021072,D021073,D021074,D021075,D021076,D021077,D021078,D021081,D021082,D021083,D021084,D021085,D021086,D021087,D021088,D021091,D021092,D021093,D021094,D021095,D021096,D021097,D021098,D021101,D021102,D021103,D021104,D021105,D021106,D021107,D021108,D021111,D021112,D021113,D021114,D021115,D021116,D021117,D021118,D021121,D021122,D021123,D021124,D021125,D021126,D021127,D021128,D021131,D021132,D021133,D021134,D021135,D021136,D021137,D021138,D021141,D021142,D021143,D021144,D021145,D021146,D021147,D021148,D022001,D022002,D022003,D022004,D022005,D022006,D022007,D022008,D022011,D022012,D022013,D022014,D022015,D022016,D022017,D022018,D022021,D022022,D022023,D022024,D022025,D022026,D022027,D022028,D022031,D022032,D022033,D022034,D022035,D022036,D022037,D022038,D022041,D022042,D022043,D022044,D022045,D022046,D022047,D022048,D022051,D022052,D022053,D022054,D022055,D022056,D022057,D022058,D022061,D022062,D022063,D022064,D022065,D022066,D022067,D022068,D022071,D022072,D022073,D022074,D022075,D022076,D022077,D022078,D022081,D022082,D022083,D022084,D022085,D022086,D022087,D022088,D022091,D022092,D022093,D022094,D022095,D022096,D022097,D022098,D022101,D022102,D022103,D022104,D022105,D022106,D022107,D022108
2012,221,55,25,0,16,0,0,14,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,86,292,247,0,45,0,0,0,3045,292,247,0,45,0,0,0,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,247,0,45,0,0,0,3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,12,408,349,0,59,0,0,0,3287,408,349,0,59,0,0,0,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,349,0,59,0,0,0,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,71,40,5,0,18,0,0,17,5409,40,5,0,18,0,0,17,5409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,0,18,0,0,17,5409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,36,302,249,0,43,0,0,10,7613,302,249,0,43,0,0,10,7613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,249,0,43,0,0,10,7613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,6,526,422,1,0,0,0,103,41677,320,245,1,0,0,0,74,31568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,245,1,0,0,0,74,31568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,245,0,0,0,0,59,25943,16,0,1,0,0,0,15,5625,0,0,0,0,0,0,0,0
2012,165,7159,6595,410,27,320,320,127,53442,6996,6446,400,26,241,124,124,51910,4583,4451,69,19,41,17,44,24956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,1670,58,7,23,9,25,13391,0,0,0,0,0,0,0,0,194,193,0,0,8,2,1,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,1202,4,12,1,2,10,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,1140,6,0,5,3,8,6136,247,246,1,0,4,1,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413,1995,331,7,200,107,80,26954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,1473,331,5,196,100,71,24489,0,0,0,0,0,0,0,0
2012,138,591,455,110,2,21,21,24,10726,591,455,110,2,21,21,24,10726,17,8,9,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,447,101,2,21,21,24,10258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,28,20,0,2,1,0,1432,0,0,0,0,0,0,0,0
2012,149,5303,4783,393,16,968,968,111,37054,5303,4783,393,16,968,968,111,37054,2192,2116,39,8,137,131,29,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,1275,29,4,96,84,10,6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,0,1,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,615,10,4,41,45,19,5644,133,133,0,0,0,1,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,2667,354,8,831,837,82,24537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492,2063,354,7,804,812,68,21783,0,0,0,0,0,0,0,0
2012,200,16699,15794,691,0,1490,1490,214,109623,16470,15645,623,0,1157,1201,202,104774,10848,10678,96,0,596,654,74,59244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357,3255,68,0,321,305,34,24841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,3951,3,0,84,209,17,12855,0,0,0,0,0,0,0,0,218,218,0,0,3,3,0,549,1526,1493,17,0,75,70,16,12046,756,751,3,0,35,24,2,2266,1020,1010,5,0,78,43,5,6687,0,0,0,0,0,0,0,0,5622,4967,527,0,561,547,128,45530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4839,4192,527,0,494,534,120,42108,0,0,0,0,0,0,0,0
