Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2019-07;Norte;ULS Nordeste;41.8069684,-6.7587977;Masculino;65 e +;57;2019-7/65 e +/Masculino/ULS Nordeste
2019-07;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Feminino;50-64;30;2019-7/50-64/Feminino/Trás-os-Montes - Alto Tâmega e Barroso
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Masculino;65 e +;54;2019-7/65 e +/Masculino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;35-49;42;2019-7/35-49/Feminino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;<20;9;2019-7/<20/Masculino/Douro II - Douro Sul
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;50-64;244;2019-7/50-64/Feminino/Douro II - Douro Sul
2019-07;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Masculino;50-64;9;2019-7/50-64/Masculino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-07;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Feminino;50-64;18;2019-7/50-64/Feminino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;<20;1;2019-7/<20/Masculino/Cávado II - Gerês/Cabreira
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;35-49;9;2019-7/35-49/Masculino/Cávado II - Gerês/Cabreira
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Feminino;35-49;21;2019-7/35-49/Feminino/Cávado II - Gerês/Cabreira
2019-07;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;65 e +;132;2019-7/65 e +/Masculino/Tâmega I - Baixo Tâmega
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;20-34;35;2019-7/20-34/Masculino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;50-64;117;2019-7/50-64/Masculino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;<20;74;2019-7/<20/Feminino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;20-34;56;2019-7/20-34/Feminino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;<20;14;2019-7/<20/Masculino/Grande Porto II - Gondomar
2019-07;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;50-64;15;2019-7/50-64/Masculino/Grande Porto II - Gondomar
2019-07;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Feminino;35-49;18;2019-7/35-49/Feminino/Grande Porto II - Gondomar
2019-07;Norte;Grande Porto III - Maia/Valongo;41.2333945,-8.6187474;Masculino;<20;1;2019-7/<20/Masculino/Grande Porto III - Maia/Valongo
2019-07;Norte;Grande Porto III - Maia/Valongo;41.2333945,-8.6187474;Masculino;65 e +;2;2019-7/65 e +/Masculino/Grande Porto III - Maia/Valongo
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;20-34;7;2019-7/20-34/Masculino/Grande Porto VI - Porto Oriental
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Feminino;20-34;10;2019-7/20-34/Feminino/Grande Porto VI - Porto Oriental
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Feminino;65 e +;40;2019-7/65 e +/Feminino/Grande Porto VI - Porto Oriental
2019-07;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Masculino;65 e +;94;2019-7/65 e +/Masculino/Entre Douro e Vouga II - Aveiro Norte
2019-07;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Masculino;<20;56;2019-7/<20/Masculino/ULS de Matosinhos
2019-07;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Feminino;50-64;106;2019-7/50-64/Feminino/ULS de Matosinhos
2019-07;Centro;Baixo Vouga;40.6405055,-8.6537539;Feminino;<20;3;2019-7/<20/Feminino/Baixo Vouga
2019-07;Centro;Baixo Vouga;40.6405055,-8.6537539;Feminino;65 e +;2;2019-7/65 e +/Feminino/Baixo Vouga
2019-07;Centro;Beira Interior Sul;39.8211367,-7.5036651;Masculino;<20;47;2019-7/<20/Masculino/Beira Interior Sul
2019-07;Centro;Beira Interior Sul;39.8211367,-7.5036651;Feminino;<20;54;2019-7/<20/Feminino/Beira Interior Sul
2019-07;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;65 e +;160;2019-7/65 e +/Masculino/Dão e Lafões
2019-07;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Masculino;20-34;2;2019-7/20-34/Masculino/Lisboa Norte
2019-07;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Feminino;<20;2;2019-7/<20/Feminino/Lisboa Norte
2019-07;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Feminino;50-64;11;2019-7/50-64/Feminino/Lisboa Norte
2019-07;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Masculino;20-34;99;2019-7/20-34/Masculino/Lisboa Central
2019-07;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Masculino;35-49;180;2019-7/35-49/Masculino/Lisboa Central
2019-07;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Masculino;65 e +;327;2019-7/65 e +/Masculino/Lisboa Central
2019-07;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;<20;262;2019-7/<20/Feminino/Lisboa Central
2019-07;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;35-49;238;2019-7/35-49/Feminino/Lisboa Central
2019-07;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;<20;98;2019-7/<20/Feminino/Lisboa Ocidental e Oeiras
2019-07;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;20-34;30;2019-7/20-34/Feminino/Lisboa Ocidental e Oeiras
2019-07;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;65 e +;90;2019-7/65 e +/Feminino/Lisboa Ocidental e Oeiras
2019-07;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;20-34;24;2019-7/20-34/Masculino/Loures-Odivelas
2019-07;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;35-49;49;2019-7/35-49/Masculino/Loures-Odivelas
2019-07;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Feminino;20-34;61;2019-7/20-34/Feminino/Loures-Odivelas
2019-07;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Feminino;65 e +;149;2019-7/65 e +/Feminino/Loures-Odivelas
2019-07;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Masculino;20-34;8;2019-7/20-34/Masculino/Amadora
2019-07;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;50-64;82;2019-7/50-64/Feminino/Amadora
2019-07;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;65 e +;114;2019-7/65 e +/Feminino/Amadora
2019-07;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Masculino;50-64;111;2019-7/50-64/Masculino/Sintra
2019-07;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Feminino;50-64;221;2019-7/50-64/Feminino/Estuário do Tejo
2019-07;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Masculino;35-49;62;2019-7/35-49/Masculino/Almada-Seixal
2019-07;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Masculino;50-64;113;2019-7/50-64/Masculino/Almada-Seixal
2019-07;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Masculino;35-49;45;2019-7/35-49/Masculino/Arco Ribeirinho
2019-07;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Masculino;50-64;62;2019-7/50-64/Masculino/Arco Ribeirinho
2019-07;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;<20;3;2019-7/<20/Feminino/Arco Ribeirinho
2019-07;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;35-49;69;2019-7/35-49/Feminino/Arco Ribeirinho
2019-07;Lisboa e Vale do Tejo;Oeste Norte;39.410844,-9.1396215;Masculino;20-34;2;2019-7/20-34/Masculino/Oeste Norte
2019-07;Lisboa e Vale do Tejo;Oeste Norte;39.410844,-9.1396215;Masculino;35-49;4;2019-7/35-49/Masculino/Oeste Norte
2019-07;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;20-34;21;2019-7/20-34/Feminino/Médio Tejo
2019-07;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Masculino;20-34;79;2019-7/20-34/Masculino/Lezíria
2019-07;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Feminino;20-34;124;2019-7/20-34/Feminino/Lezíria
2019-07;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Feminino;50-64;370;2019-7/50-64/Feminino/Lezíria
2019-07;Alentejo;Alentejo Central;38.8442031,-7.5826619;Masculino;20-34;42;2019-7/20-34/Masculino/Alentejo Central
2019-07;Alentejo;Alentejo Central;38.8442031,-7.5826619;Feminino;65 e +;132;2019-7/65 e +/Feminino/Alentejo Central
2019-07;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Masculino;35-49;45;2019-7/35-49/Masculino/Algarve II - Barlavento
2019-07;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Masculino;50-64;68;2019-7/50-64/Masculino/Algarve II - Barlavento
2019-07;Algarve;Algarve II - Barlavento;37.1387554,-8.5445093;Feminino;35-49;71;2019-7/35-49/Feminino/Algarve II - Barlavento
2019-07;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Masculino;35-49;29;2019-7/35-49/Masculino/AlgarveIII - Sotavento
2019-10;Norte;ULS Nordeste;41.8069684,-6.7587977;Masculino;35-49;44;2019-10/35-49/Masculino/ULS Nordeste
2019-10;Norte;ULS Nordeste;41.8069684,-6.7587977;Feminino;20-34;45;2019-10/20-34/Feminino/ULS Nordeste
2019-10;Norte;ULS Nordeste;41.8069684,-6.7587977;Feminino;65 e +;149;2019-10/65 e +/Feminino/ULS Nordeste
2019-10;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Masculino;<20;4;2019-10/<20/Masculino/Trás-os-Montes - Alto Tâmega e Barroso
2019-10;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Feminino;65 e +;62;2019-10/65 e +/Feminino/Trás-os-Montes - Alto Tâmega e Barroso
2019-10;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;<20;3;2019-10/<20/Feminino/Douro I - Marão e Douro Norte
2019-10;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;35-49;45;2019-10/35-49/Feminino/Douro I - Marão e Douro Norte
2019-10;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;<20;11;2019-10/<20/Masculino/Douro II - Douro Sul
2019-10;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;50-64;167;2019-10/50-64/Masculino/Douro II - Douro Sul
2019-10;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;65 e +;186;2019-10/65 e +/Masculino/Douro II - Douro Sul
2019-10;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;<20;20;2019-10/<20/Feminino/Douro II - Douro Sul
2019-10;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Masculino;<20;7;2019-10/<20/Masculino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-10;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Feminino;<20;7;2019-10/<20/Feminino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-10;Norte;Ave - Famalicão;41.3835805,-8.4157518;Masculino;<20;28;2019-10/<20/Masculino/Ave - Famalicão
2019-10;Norte;Ave - Famalicão;41.3835805,-8.4157518;Feminino;20-34;2;2019-10/20-34/Feminino/Ave - Famalicão
2019-10;Norte;Ave - Famalicão;41.3835805,-8.4157518;Feminino;50-64;26;2019-10/50-64/Feminino/Ave - Famalicão
2019-10;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;50-64;49;2019-10/50-64/Masculino/Cávado II - Gerês/Cabreira
2019-10;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Feminino;<20;4;2019-10/<20/Feminino/Cávado II - Gerês/Cabreira
2019-10;Norte;Cávado III - Barcelos/Esposende;41.5317419,-8.6178922;Masculino;<20;2;2019-10/<20/Masculino/Cávado III - Barcelos/Esposende
2019-10;Norte;Cávado III - Barcelos/Esposende;41.5317419,-8.6178922;Feminino;65 e +;8;2019-10/65 e +/Feminino/Cávado III - Barcelos/Esposende
2019-10;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;35-49;95;2019-10/35-49/Masculino/Tâmega I - Baixo Tâmega
2019-10;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;65 e +;170;2019-10/65 e +/Masculino/Tâmega I - Baixo Tâmega
2019-10;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;35-49;133;2019-10/35-49/Feminino/Tâmega II - Vale do Sousa Sul
2019-10;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;65 e +;190;2019-10/65 e +/Feminino/Tâmega II - Vale do Sousa Sul
2019-10;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Masculino;<20;18;2019-10/<20/Masculino/Grande Porto I - Santo Tirso/Trofa
2019-10;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Masculino;50-64;83;2019-10/50-64/Masculino/Grande Porto I - Santo Tirso/Trofa
2019-10;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Feminino;50-64;138;2019-10/50-64/Feminino/Grande Porto I - Santo Tirso/Trofa
2019-10;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Feminino;65 e +;93;2019-10/65 e +/Feminino/Grande Porto I - Santo Tirso/Trofa
2019-10;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;20-34;33;2019-10/20-34/Masculino/Grande Porto II - Gondomar
2019-10;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;35-49;46;2019-10/35-49/Masculino/Grande Porto II - Gondomar
2019-10;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;65 e +;67;2019-10/65 e +/Masculino/Grande Porto II - Gondomar
2019-10;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Feminino;20-34;43;2019-10/20-34/Feminino/Grande Porto II - Gondomar
2019-10;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Feminino;65 e +;88;2019-10/65 e +/Feminino/Grande Porto II - Gondomar
2019-10;Norte;Grande Porto III - Maia/Valongo;41.2333945,-8.6187474;Masculino;20-34;22;2019-10/20-34/Masculino/Grande Porto III - Maia/Valongo
2019-10;Norte;Grande Porto III - Maia/Valongo;41.2333945,-8.6187474;Masculino;50-64;53;2019-10/50-64/Masculino/Grande Porto III - Maia/Valongo
2019-10;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Masculino;65 e +;41;2019-10/65 e +/Masculino/Grande Porto V - Porto Ocidental
2019-10;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Feminino;20-34;34;2019-10/20-34/Feminino/Grande Porto V - Porto Ocidental
2019-10;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Feminino;35-49;29;2019-10/35-49/Feminino/Grande Porto V - Porto Ocidental
2019-10;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Feminino;50-64;56;2019-10/50-64/Feminino/Grande Porto V - Porto Ocidental
2019-10;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Feminino;35-49;18;2019-10/35-49/Feminino/Grande Porto VI - Porto Oriental
2019-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Masculino;20-34;40;2019-10/20-34/Masculino/Entre Douro e Vouga I - Feira/Arouca
2019-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Feminino;<20;53;2019-10/<20/Feminino/Entre Douro e Vouga I - Feira/Arouca
2019-10;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Feminino;35-49;156;2019-10/35-49/Feminino/Entre Douro e Vouga II - Aveiro Norte
2019-10;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Feminino;50-64;230;2019-10/50-64/Feminino/Entre Douro e Vouga II - Aveiro Norte
2019-10;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Masculino;50-64;109;2019-10/50-64/Masculino/ULS de Matosinhos
2019-10;Centro;Baixo Vouga;40.6405055,-8.6537539;Masculino;50-64;2;2019-10/50-64/Masculino/Baixo Vouga
2019-10;Centro;Baixo Vouga;40.6405055,-8.6537539;Feminino;<20;10;2019-10/<20/Feminino/Baixo Vouga
2019-10;Centro;Baixo Vouga;40.6405055,-8.6537539;Feminino;35-49;1;2019-10/35-49/Feminino/Baixo Vouga
2019-10;Centro;Beira Interior Sul;39.8211367,-7.5036651;Masculino;35-49;46;2019-10/35-49/Masculino/Beira Interior Sul
2019-10;Centro;Beira Interior Sul;39.8211367,-7.5036651;Masculino;50-64;63;2019-10/50-64/Masculino/Beira Interior Sul
2019-10;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;35-49;69;2019-10/35-49/Masculino/Dão e Lafões
2019-10;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;50-64;150;2019-10/50-64/Masculino/Dão e Lafões
2019-10;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Masculino;<20;3;2019-10/<20/Masculino/Lisboa Norte
2019-10;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Masculino;65 e +;22;2019-10/65 e +/Masculino/Lisboa Norte
2019-10;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Feminino;<20;3;2019-10/<20/Feminino/Lisboa Norte
2019-10;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;<20;340;2019-10/<20/Feminino/Lisboa Central
2019-10;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Masculino;50-64;42;2019-10/50-64/Masculino/Lisboa Ocidental e Oeiras
2019-10;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;<20;141;2019-10/<20/Feminino/Lisboa Ocidental e Oeiras
2019-10;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;50-64;85;2019-10/50-64/Masculino/Loures-Odivelas
2019-10;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;65 e +;163;2019-10/65 e +/Masculino/Loures-Odivelas
2019-10;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;65 e +;152;2019-10/65 e +/Feminino/Amadora
2019-10;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Feminino;50-64;229;2019-10/50-64/Feminino/Sintra
2019-10;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Feminino;65 e +;209;2019-10/65 e +/Feminino/Sintra
2019-10;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Masculino;65 e +;179;2019-10/65 e +/Masculino/Almada-Seixal
2019-10;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Feminino;<20;102;2019-10/<20/Feminino/Almada-Seixal
2019-10;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;<20;3;2019-10/<20/Feminino/Arco Ribeirinho
2019-10;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;50-64;91;2019-10/50-64/Feminino/Arco Ribeirinho
2019-10;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Feminino;65 e +;76;2019-10/65 e +/Feminino/Arco Ribeirinho
2019-10;Lisboa e Vale do Tejo;Arrábida;38.5324373,-8.8627453;Masculino;65 e +;4;2019-10/65 e +/Masculino/Arrábida
2019-10;Lisboa e Vale do Tejo;Oeste Norte;39.410844,-9.1396215;Feminino;50-64;18;2019-10/50-64/Feminino/Oeste Norte
2019-10;Lisboa e Vale do Tejo;Oeste Sul;39.0917759,-9.2600341;Masculino;35-49;54;2019-10/35-49/Masculino/Oeste Sul
2019-10;Lisboa e Vale do Tejo;Oeste Sul;39.0917759,-9.2600341;Feminino;<20;29;2019-10/<20/Feminino/Oeste Sul
2019-10;Lisboa e Vale do Tejo;Oeste Sul;39.0917759,-9.2600341;Feminino;35-49;127;2019-10/35-49/Feminino/Oeste Sul
2019-10;Lisboa e Vale do Tejo;Oeste Sul;39.0917759,-9.2600341;Feminino;65 e +;156;2019-10/65 e +/Feminino/Oeste Sul
2019-10;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Masculino;20-34;14;2019-10/20-34/Masculino/Médio Tejo
2019-10;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;35-49;49;2019-10/35-49/Feminino/Médio Tejo
2019-10;Lisboa e Vale do Tejo;Lezíria;39.2371689,-8.6908895;Masculino;50-64;314;2019-10/50-64/Masculino/Lezíria
2019-10;Algarve;Algarve I - Central;37.0274264,-7.9395984;Masculino;<20;99;2019-10/<20/Masculino/Algarve I - Central
2019-10;Algarve;Algarve I - Central;37.0274264,-7.9395984;Masculino;20-34;26;2019-10/20-34/Masculino/Algarve I - Central
2019-10;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Masculino;<20;88;2019-10/<20/Masculino/AlgarveIII - Sotavento
2019-10;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Masculino;35-49;34;2019-10/35-49/Masculino/AlgarveIII - Sotavento
2019-10;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Feminino;<20;83;2019-10/<20/Feminino/AlgarveIII - Sotavento
2019-10;Algarve;AlgarveIII - Sotavento;37.383008,-7.7293275;Feminino;35-49;75;2019-10/35-49/Feminino/AlgarveIII - Sotavento
2019-07;Norte;ULS Nordeste;41.8069684,-6.7587977;Feminino;20-34;30;2019-7/20-34/Feminino/ULS Nordeste
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Masculino;35-49;23;2019-7/35-49/Masculino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;50-64;70;2019-7/50-64/Feminino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;20-34;41;2019-7/20-34/Masculino/Douro II - Douro Sul
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;35-49;80;2019-7/35-49/Masculino/Douro II - Douro Sul
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;<20;13;2019-7/<20/Feminino/Douro II - Douro Sul
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;65 e +;159;2019-7/65 e +/Feminino/Douro II - Douro Sul
2019-07;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Feminino;35-49;209;2019-7/35-49/Feminino/Tâmega I - Baixo Tâmega
2019-07;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Feminino;50-64;339;2019-7/50-64/Feminino/Tâmega I - Baixo Tâmega
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;<20;92;2019-7/<20/Masculino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Masculino;35-49;63;2019-7/35-49/Masculino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;35-49;92;2019-7/35-49/Feminino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;Feminino;50-64;159;2019-7/50-64/Feminino/Tâmega II - Vale do Sousa Sul
2019-07;Norte;Grande Porto I - Santo Tirso/Trofa;41.3469246,-8.4822648;Feminino;20-34;16;2019-7/20-34/Feminino/Grande Porto I - Santo Tirso/Trofa
2019-07;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Masculino;35-49;7;2019-7/35-49/Masculino/Grande Porto II - Gondomar
2019-07;Norte;Grande Porto II - Gondomar;41.1738444,-8.5612238;Feminino;<20;13;2019-7/<20/Feminino/Grande Porto II - Gondomar
2019-07;Norte;Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;Feminino;35-49;21;2019-7/35-49/Feminino/Grande Porto V - Porto Ocidental
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;35-49;13;2019-7/35-49/Masculino/Grande Porto VI - Porto Oriental
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;50-64;23;2019-7/50-64/Masculino/Grande Porto VI - Porto Oriental
2019-07;Norte;Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;Masculino;65 e +;26;2019-7/65 e +/Masculino/Grande Porto VI - Porto Oriental
2019-07;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Masculino;50-64;70;2019-7/50-64/Masculino/Entre Douro e Vouga II - Aveiro Norte
2019-07;Norte;Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;Feminino;35-49;104;2019-7/35-49/Feminino/Entre Douro e Vouga II - Aveiro Norte
2019-07;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Masculino;20-34;17;2019-7/20-34/Masculino/ULS de Matosinhos
2019-07;Centro;Baixo Vouga;40.6405055,-8.6537539;Masculino;65 e +;2;2019-7/65 e +/Masculino/Baixo Vouga
2019-07;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;50-64;111;2019-7/50-64/Masculino/Dão e Lafões
2019-07;Centro;Dão e Lafões;40.6565861,-7.9124712;Feminino;35-49;74;2019-7/35-49/Feminino/Dão e Lafões
2019-07;Centro;Dão e Lafões;40.6565861,-7.9124712;Feminino;50-64;121;2019-7/50-64/Feminino/Dão e Lafões
2019-07;Lisboa e Vale do Tejo;Lisboa Norte;38.7396924,-9.168506;Masculino;65 e +;12;2019-7/65 e +/Masculino/Lisboa Norte
