Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2021-11;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;20-34;64;2021-11/20-34/Feminino/Lisboa Central
2021-11;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;50-64;76;2021-11/50-64/Feminino/Lisboa Central
2021-11;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Masculino;65 e +;3;2021-11/65 e +/Masculino/Lisboa Ocidental e Oeiras
2021-11;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;<20;71;2021-11/<20/Masculino/Loures-Odivelas
2021-11;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;50-64;44;2021-11/50-64/Masculino/Loures-Odivelas
2021-11;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Feminino;<20;80;2021-11/<20/Feminino/Loures-Odivelas
2021-11;Lisboa e Vale do Tejo;Sintra;38.7519209,-9.2753636;Masculino;20-34;1;2021-11/20-34/Masculino/Sintra
2021-11;Lisboa e Vale do Tejo;Cascais;38.69904,-9.3818008;Masculino;20-34;4;2021-11/20-34/Masculino/Cascais
2021-11;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Masculino;65 e +;39;2021-11/65 e +/Masculino/Estuário do Tejo
2021-11;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Feminino;50-64;41;2021-11/50-64/Feminino/Estuário do Tejo
2021-11;Lisboa e Vale do Tejo;Estuário do Tejo;38.9528113,-8.9911154;Feminino;65 e +;27;2021-11/65 e +/Feminino/Estuário do Tejo
2021-11;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Feminino;35-49;49;2021-11/35-49/Feminino/Almada-Seixal
2021-11;Lisboa e Vale do Tejo;Almada-Seixal;38.6678522,-9.1875777;Feminino;65 e +;42;2021-11/65 e +/Feminino/Almada-Seixal
2021-11;Lisboa e Vale do Tejo;Arco Ribeirinho;38.6672076,-9.0543329;Masculino;65 e +;28;2021-11/65 e +/Masculino/Arco Ribeirinho
2021-11;Lisboa e Vale do Tejo;Arrábida;38.5324373,-8.8627453;Masculino;35-49;9;2021-11/35-49/Masculino/Arrábida
2021-11;Lisboa e Vale do Tejo;Arrábida;38.5324373,-8.8627453;Masculino;65 e +;33;2021-11/65 e +/Masculino/Arrábida
2021-11;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Masculino;<20;4;2021-11/<20/Masculino/Médio Tejo
2021-11;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Masculino;50-64;28;2021-11/50-64/Masculino/Médio Tejo
2021-11;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Masculino;65 e +;27;2021-11/65 e +/Masculino/Médio Tejo
2021-11;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;20-34;12;2021-11/20-34/Feminino/Médio Tejo
2021-11;Lisboa e Vale do Tejo;Médio Tejo;39.478072,-8.5404429;Feminino;50-64;54;2021-11/50-64/Feminino/Médio Tejo
